mag,totalSamplesMag,gMedianOfSD,gSDofSD,gMeanOfSD,gUsedSamplesMag,gMeanSamplesLC,rMedianOfSD,rSDofSD,rMeanOfSD,rUsedSamplesMag,rMeanSamplesLC
22.75,127.0,0.26484835034514864,0.13295518571750944,0.26739318713355026,24.0,9.375,0.25777267230172296,0.08363081410495916,0.2642168363214346,118.0,43.30508474576271
23.0,90.0,0.37686616850916854,0.17295391876121763,0.30699802810117144,15.0,5.266666666666667,0.24371718962195477,0.12095944298451622,0.25389860848672335,84.0,29.63095238095238
23.0,90.0,0.37686616850916854,0.17295391876121763,0.30699802810117144,15.0,5.266666666666667,0.24371718962195477,0.12095944298451622,0.25389860848672335,84.0,29.63095238095238
23.25,90.0,0.22804663866106156,0.06710025338432242,0.17618870746367712,4.0,9.5,0.26670293432149306,0.14712431008870708,0.28699823687086773,86.0,15.86046511627907
23.25,90.0,0.22804663866106156,0.06710025338432242,0.17618870746367712,4.0,9.5,0.26670293432149306,0.14712431008870708,0.28699823687086773,86.0,15.86046511627907
23.5,96.0,0.2999140195469244,0.09220178153721705,0.22123005353582506,6.0,3.3333333333333335,0.2805263088412806,0.14062966074287706,0.29778227644064537,89.0,23.269662921348313
23.5,96.0,0.2999140195469244,0.09220178153721705,0.22123005353582506,6.0,3.3333333333333335,0.2805263088412806,0.14062966074287706,0.29778227644064537,89.0,23.269662921348313
23.75,70.0,0.39567233723863526,0.05089495801160592,0.2925386969915132,3.0,12.0,0.26561641410142833,0.1454580485227763,0.2822153470118656,66.0,23.015151515151516
23.75,70.0,0.39567233723863526,0.05089495801160592,0.2925386969915132,3.0,12.0,0.26561641410142833,0.1454580485227763,0.2822153470118656,66.0,23.015151515151516
24.5,48.0,0.0,0.08113847666901866,0.011835263209478522,1.0,0.22916666666666666,0.27941372649002305,0.15204223643757916,0.270040388179288,43.0,6.209302325581396
24.5,48.0,0.0,0.08113847666901866,0.011835263209478522,1.0,0.22916666666666666,0.27941372649002305,0.15204223643757916,0.270040388179288,43.0,6.209302325581396
24.75,38.0,0.0,0.038195907840753475,0.006279368568228627,1.0,0.07894736842105263,0.28779117549302186,0.13624027017628726,0.3039202567901107,34.0,6.882352941176471
24.75,38.0,0.0,0.038195907840753475,0.006279368568228627,1.0,0.07894736842105263,0.28779117549302186,0.13624027017628726,0.3039202567901107,34.0,6.882352941176471
